employerName,employerAddressStreet_name,employerAddressCity,employerAddressState,employerAddressZip,einEmployerIdentificationNumber,employeeName,ssnOfEmployee,box1WagesTipsAndOtherCompensations,box2FederalIncomeTaxWithheld,box3SocialSecurityWages,box4SocialSecurityTaxWithheld,box16StateWagesTips,box17StateIncomeTax,taxYear
"Mcintosh, Barrett and Gonzalez Inc",622 Stephanie Street Apt. 101,Stevensport,OH,10605-4146,73-2184591,Todd Harris,297-01-8002,.8374545,27099.7,.9624839,.73630,43660.18,234423,2018
Rice-Millians Group,2415 Omar Harbors,new Tammy,:,53805-6544,86-3555396,Timothy Carter,793-75-8410,210249.94,97761.36,203174.18,21642.02,108744.35,5972.56,2018
Gilbert The 104,75745 Jessica Mission Suite 832,Bryanmouth,Unknown,Unknown,UNKNOWN_EIN,Janice Wright,451-10-1014,0,69050.09,137045.22,0,0,0,2018
King-Lawson and Sons,275 Olivia Rue,Bowenburgh,LA,51741-5190,83-9993923,Suzanne Hopkins,133-91-4942,77057.22,17030.96,60971.4,4664.31,39144.53,2784.2,2018
Stone Group LLC,58754 Derrick Circle Apt. 046,Mitchellfurt,PA,50107-5650,52-4199713,Caroline Carrillo,257-02-8934,130335.07,35094.48,152083.45,11634.38,68749.7,3617.23,2018
"Howard, Armstrong and Webster PLC",547 Bryan Bypass,Gonzalezburgh,360,48231-3720,60-8334905,Allen Walker,574-54-1310,221178.68,24265.84,229392.25,17548.51,110857.88,4910.94,2018
"Manning, Chambers and Ryan and Sons",10786 Joseph Views,Mayton,VT,25361-9524,41-8236050,Steven Rogers,307-18-7968,81220.92,8350.67,99333.57,7599.02,43364097,3888081,2018
"Carter, Lucero and Davis PLC",Unknown,Brownborough,VT,34455-6450,76-0796293,Christopher Love,352-77-4276,69050.02,7493.91,69773.9,5337.7,33840.47,238525,2018
Williams-Jackson LLC,05360 Steven Villages,North Kayla,TN,76008-3863,52-4622242,William Herring,029-18-8536,215731.51,49893.29,239667.83,18334.59,117335.02,4607.71,2018
Hogan-Arnold and Sons,25178 Hayden Flat,Taylorhaven,ME,Unknown,67-8367398,Christopher Smith,017-06-4779,175196.99,46604.05,131835.9,10085.45,87478.79,8420.12,2018
"Gibson, Wilkerson and Jacobson Inc",337 Lance Knoll Apt. 277,South Williamland,VT,99702-2167,66-1518074,Samuel Parker,100-43-1278,176755.57,25686.19,205118.63,15691.58,92886.2,9769.08,2018
wolfe Ltd and Sons,208 Kimberly Parkways Apt. 775,Craigburgh,VT,33966-7068,47-7546204,Raymond williams,498-64-1325,124801.06,45414.72,115950.28,873.26,56935.04,2804.77,2018
Hall-Huynh PLC,5546 Larsen Mount Suite 405,Port Amandafurt,NV,91183-1024,50-6983989,David Friedman,641-02-1377,186876.35,61783.77,223287.32,17081.48,0,9258.08,2018
Cunningham Ltd Group,3723 Jimenez Pass Suite 136,Smithborough,CA,37203-0072,32-4982442,Marissa Edwards,653-70-6743,116883.09,33295.25,132853.66,10163.3,53251715,761534,2018
"Brown, Kelley and Baker LAd",240 Gill Locks,Unknown,Unknown,06742-6063,UNKNOWN_EIN,fairy Salinas,000-00-0000,0,0,271548.23,0,0,0,2018
Edwards LLC Inc,49043 Robert Spur,Webbmouth,UT,95937-7595,43-6315844,Kennedy Terry,427-33-4506,24537913,64741.62,179834.82,13757.36,127683.58,15089.32,2018
Burnett-Berry and Sons,416 Morgan Mountain,East Katherineland,TN,82470-4210,77-9819318,Katie Massey,746-03-7042,239166.56,66108.17,310340.54,23741.05,108937.49,11422.48,2018
Hawkins-Taylor Group,7173 Patricia Forge Apt. 378,Munozton,NC,42223-8502,32-6509415,William Wells,024-25-1828,81899.04,9862.26,61044.97,4669.94,41274221,233651,2018
"King, Estrada and Larson LLC",274 Rubio Skyway Apt. 312,Kimview,MN,96300-2975,36-5639269,Charles Blanchard,651-04-4746,234319.18,24474.05,230516.89,17634.54,126297.58,10669.32,2018
"Cook, Burton and Cummings Group",0472 Haynes Knolls Apt. 385,Brewerfort,ID,64724-8009,02-9563166,Alexander Bennett,491-42-0688,84392.04,9681.91,73828.0,5647.84,41423.13,2361.97,2018
"Vincent, Adams and Alvarez Group",969 Jimenez Lane,Josephbury,MA,33828-9522,11-3980129,Dana Spencer,445-61-3300,223557.54,75230.46,285381.1,21831.65,120144.22,13280.81,2018
"Rios, Garrison and Ingram LLC",6921 Terry Vista,Johnburgh,FL,32210-6833,45-4819407,Carl Morris,871-24-7039,92685.64,24172.22,119976.37,9178.19,50253.51,2714.36,2018
Daniels-Butler Inc,4197 Jesse Ports,Millerburgh,NM,66789-0361,84-0929946,Mr. Michael,066-39-2289,116855.28,34415.0,92476.05,7074.42,5799149,4185.69,2018
"Hood, Morales and Hartman Led",90997 James Road Apt. 582,Tinamouth,OR,08461-1541,77-4968935,Diane Anderson,038-14-7215,89847.19,26540.39,87827.64,6718.81,46713.42,3237.1,2018
Davis-Marks Inc,359 Victoria Rest Apt. 745,Jillianview,ND,74855-2545,02-1059149,Eric Parks,365-69-7885,74967.02,23355.58,54386.56,4160.57,37295.54,3546.1,2018
Adams-Clay Group,9552 Valerie Plains,East Daniel,DC,25298-3986,91-5727355,Victor Gregory,697-88-6696,235225.65,68550.27,254895.9,19499.54,110965.78,94453,2018
"Valenzuela, Armstrong and Carter Ltd",935 Jacob Valley 109 Apt.,Antonioton,WY,39064-4690,55-7630433,Cheryl Wilson,639-32-9265,.18751543,.5177647,194068.33,14846.23,98026.29,.745751,2018
Parker-Jackson PLC,968 Nicole Estates Apt. 946,Jenniferbury,MN,04885-1351,68-7282777,Adrienne Reyes,404-78-0491,129060.79,25691.84,155413.52,11889.13,70561.63,505169,2018
"Sanders, Kim and Flores LLC",301 Lisa Ridge Apt. 652,Jeffreyview,AL,78371-2913,22-5791245,Veronica Lin,898-20-3623,177481.49,47084.48,189710.11,14512.82,90554.86,725182,2018
Flowers and Sons Led,327 Miranda Shoals,Lake Kayla,10,75749-9541,47-6910970,Mason Edwards,295-20-2777,170401.23,23526.27,13790853,10550.0,83795.31,5470.95,2018
Smith and Sons Group,7691 Thomas Fort Apt. 726,Lake Scott,OK,Unknown,62-9385789,Ricky Hardy,481-60-4241,86101.64,19731.39,83019.29,6350.98,43990.05,83529.,2018
"Hansen, Sanders and Jimenez LLC",941 Roberts Corner Apt. 634,Lake Joshua,RE,45094-3289,50-5192603,Denise Crawford,206-89-2179,148703.0,22500.02,149269.77,1141914,76959.08,6362.15,2018
Atkins Ltd Ltd,71673 Costa Stravenue,East Christophertown,DC,65042-6030,44-2621256,Rickey Mcconnell,312-77-6073,218443.73,31849.24,241430.8,18469.46,10876183,10092.88,2018
"Wilson, Luna and Simmons Group",14138 Deborah Brook Apt. 261,West Phillip,VA,31886-2440,35-8392508,Eric Ortiz,520-30-2243,54418.6,10180.33,66480.35,5085.75,2649408,3529.98,2018
Beck Inc Group,689 Lee Mount Apt. 112,Murphychester,DE,03290-8615,03-3401120,Wesley Peterson,784-01-5990,160427.52,35711.58,121661.33,9307.09,73891.82,6448.04,2018
Unknown,5054 Andrew Mills Suite 527,Meet Jonathanshire,MY,93265-7717,32-9156434,Whitney Dickson,299-20-2304,112540.72,15122.77,414913.13,8790.85,52921.02,1834.89,2018
"Smith, Smith and Roberts LLC",75062 Carlson Mount 847 Apt.,Nicolefort,LA,95996-8132,24-1703992,William Coleman,712-23-7304,.16048378,.4985447,200998.41,.1537638,.8479624,.677557,2018
Bridges-Larsen Group,874 Steven Spring Apt. 654,Julianborough,NV,56632-7163,53-0741018,Freeman Ryan,069-72-9627,43575.84,14754.49,42656.55,3263.23,19717.44,1156.94,2018
Jones PLC LLC,Unknown,Hortonstad,OK,99476-2797,44-1608409,Shane Burch,278-69-7877,248046.96,.3684457,31864143.,24376.07,126574.85,5953.42,2018
"Miller, Zhang and Bauer Ltd",1572 Prince Prairie 750 Apt.,South Clarenceton,IL,63868-4378,14-2133094,Jennifer Gay,412-52-5042,71309.25,19949.77,.5590086,.427642,.3271251,2306.17,2018
Owens-Franklin and Sons,144 Snyder Knoll,East Kimberlyland,MA,29469-2074,58-0314025,Samuel Johnson,072-90-9805,162850.76,47907.32,129406.71,9899.61,80699.88,7093.99,2018
"Rubio, Wang and Hudson Inc",9274 Lee Wells Apt. 796,Larsonstad,SC,72533-7338,74-3141818,Russell Mendez,605-94-9102,133845.76,27917.11,95518.05,7307.13,69877.05,6378.26,2018
Cox-Ewing PLC,66584 Cardenas Knoll Apt. 710,East Matthew,MO,88208-0954,02-6719242,Logan Simpson,117-22-2124,227171.95,36336.29,172141.54,13168.83,118983.11,9047.36,2018
Patel and Sons Itd,90151 Anne Lights Apt. 327,West Christopherfort,DE,55370-996,39-5015863,Richard Turner,844-77-7874,191444.5,60986.25,216902.65,16593.05,100844.04,5738719,2018
Harmon Group Group,94500 Downs Mount,Williston,KY,20903-5126,56-0737019,William Cruz,381-37-6717,13416814,37067.23,122384.39,9362.41,67220.02,348172,Unknown
Snyder Ltd and Sons,8548 Henry Ridge,Judithberg,WY,14075-6918,06-3325992,Greg Spears,780-77-0225,73881.28,12926.19,64205.97,4911.76,40606.83,1970.12,2018
Martin PLC and Sons,144 Stephanie Fort,Lake Vanessatown,MD,17028-3431,73-5256549,Debra Joyce,181-52-3270,.22919316,.2550248,.25772716,19716.13,.12064101,.690318,2018
"Clark, Mitchell and Owens LLC",388 Brian Rapids,Paulaburgh,KS,90608-1133,93-2223268,Danielle Weber,257-17-1943,231962.0,82462.72,213066.7,16299.6,.10504222,4190.22,2018
Spencer-Davis LLC,705 Pope Camp Suite 547,Rachelborough,NE,08722-1358,93-9578737,Benjamin Horton,486-39-2454,140684.34,42832.01,142919.65,10933.35,72373.26,3041.38,2018
"Rich, Ramirez and Rivera PLC",9507 Faulkner Meadows,South Stephenmouth,Unknown,63416-888,22-3269359,Anthony Reed,284-29-8034,194203.9,31759.01,212320.63,16242.53,104013.19,6384.65,2018
Ruiz Inc Group,68289 Lee Avenue Apt. 317,South Michaelville,IN,66332-5190,71-7778693,Shirley Williams,163-72-7039,203364.66,54432.11,198156.84,015159.,102865.19,7777.96,2018
Gray and Sons PLC,03084 Melissa Common Apt. 423,Chamberschester,PA,77162-6970,56-6797845,Martinez Suzanne,664-40-5512,172752.16,54266.82,205127.45,15692.25,87406.34,6095.48,2018
Carpenter-Lopes and Side,170 Smith Dale Apt. 422,Unknown,Unknown,Unknown,UNKNOWN_EIN,Scott Martin,415-10-1039,147042.26,0,0,716.46,0,0,2018
Ramos-Jordan and Sons,9993 Harris Oval Suite 330,Johnston,CA,24774-6313,72-2173475,Jenny Sanchez,471-84-4028,231871.56,61572.36,247097.68,18902.97,108537.22,10212.69,2018
Swanson PLC PLC,964 Sarah Highway Suite 678,East John,WA,22789-6104,12-8804549,Alejandro Hall,811-96-6625,221799.57,47422.5,195498.94,14955.67,113458.17,1882372,2018
Fletcher and Sons and Sons,82752 Frey Rest Apt. 058,North Kristen,NC,56897-2875,42-8411647,Jackie Johnson,494-35-4815,159559.78,16185.79,115468.19,8833.32,87087.16,9432.16,2018
Kennedy-Werner PLC,155 Christopher Forest Apt. 222,Thomasfort,LA,72010-7593,01-9257529,Chloe Marshall,836-45-7280,109302.09,21304.32,117462.0,8985.84,50524.18,2360.95,2018
Hernandez PLC LLC,"098 Brewer Parkway, Suite 520",Smithland,IA,82538-1369,98-5183738,Julie Marquez,433-21-4661,140348.11,17995.3,164953.29,12618.93,69968.03,527749,2018
"Alvarez, Milos and Grant PLC",603 Janie Rapids,Meat Brian,ND,93513-9121,$9-0141149,Beth Bart,246-91-2924,241879.54,0,0,19276.3,0,0,2018
"Walker, Hall and Rodriguez Group",65681 Jones Forge,Karenbury,MS,90310-7578,11-4484869,Curtis Cunningham,185-14-9204,93819.93,26578.19,117410.45,8981.9,44761.69,3401.69,2018
"Guerrero, Wilson and Brown Inc",219 Garcia Mountains,Wilsonton,CA,68083-2709,99-3131626,Kimberly Drake,517-43-3149,114051.02,25888.9,107321.18,8210.07,57482.08,6678.03,2018
Fisher-Walker PLC,83450 Smith Lodge,Port Christopher,GA,81934-0775,34-8483770,Bianca Cannon,007-80-4407,219087.68,72935.2,161049.61,12320.3,18114795.,9187.72,2018
Stevenson-Foster LLC,37384 William Plain,Brownside,SC,78762-9429,54-3245497,Smith Matthew,208-01-9056,145021.05,35053.39,115349.44,8824.23,76092.67,4651.11,2018
Herrera PLC PLC,8965 Price Cape Suite 811,North Mariaburgh,AR,86518-5582,06-4156216,Henry Mcdaniel,072-86-5348,69586.36,8262.48,48797.27,3732.99,31798.14,1846.12,2018
"Green, Davis and Mathews and Sons",342 Daniel Fords Suite 658,East Elizabethshire,MS,32510-35,20-6275123,Garrison Dalton,451-42-4051,102685.59,35268.32,123958.54,9482.83,.5235206,1962.27,2018
"Kennedy, Thomas and Johnson Ltd",5212 Moore Expressway,East Leah,CT,07962-1357,82-8931302,Mccormick Laura,777-19-6923,115223.03,28847.62,106979.33,8183.92,61911187,3448.44,2018
Serrano Group and Sons,2528 Robert Radial Suite 360,Gonzalezview,NC,65964-9637,43-6832227,Sarah Whitaker,016-74-4489,85971.25,27445.47,98821.52,7559.85,43802.55,1765.91,2018
Diaz-Lambert Ltd,88617 Moore Plain,Frankhaven,OH,78202-9660,44-2729005,John Morgan,364-48-7013,138878.03,24262.84,171736.78,13137.86,73104.47,4744.13,2018
Woods-Collier LLC,290 Joseph Viaduct Apt. 855,Margaretberg,ID,35521-2218,22-1434252,Ricky Davenport,702-68-1004,223794.52,58048.12,254926.28,19501.86,103975.38,.1251772,2018
"Mccarthy, Washington and Larson Group",6192 Cox Stravenue Suite 884,South Jonathan,NY,55821-0677,48-1135308,Brandon Hawkins,074-66-5545,123565.85,.1547566,0,.762847,63302281,4492.14,2018
Hawkins Inc Ltd,00193 Aimee Garden,Griffinbury,CA,00534-4134,58-3835382,Brown April,335-36-7976,198607.38,.2459328,147079.3,11251.57,96875.19,4096.83,2018
Walker-Brown Inc,4758 Mason Roads,East Jessicaberg,WV,28355-8742,60-8367324,Valerie Williams,579-24-1268,190999.07,39549.12,237345.63,18156.94,10343472,1806176,2018
Powell-Nguyen LLC,819 Holmes Plain,West Brianside,CT,84940-0964,36-7753760,Dylan Hill,580-89-3073,238353.97,.8384596,17741173.,13572.0,1292401517,1061624,2018
Unknown,$406 Tran Club Quite 832,Feltbrille,V,17912-1873,UNKNOWN_EIN,DE. Laura,000-00-0000,0,0,104945.09,14149.03,0,979.39,2018
"Warren, Bell and Warren PLC",46217 Franco Mills Apt. 324,South Lisaburgh,VA,73385-7088,23-6711751,Carl Wade,267-12-3513,67699.04,15129.35,60845.61,4654.69,3686437,170181,2018
Rosales Ltd Inc,3583 Sabrina Views,Ramirezside,NM,30361-7651,94-8902608,Ryan Henson,310-75-6792,106221.36,33630.05,125006.36,9562.99,53300.24,2198.39,2018
Clark-Werner PLC,256 Murphy Roads,Port Karen,FL,88506-5986,90-9856804,Amy Barnett,386-77-0048,96655.68,17453.05,75958.7,5810.84,50834.81,4520.08,2018
Sims-Carson Group,8227 Harris Creek Suite 983,Matthewstad,MA,40254-5406,13-4196315,Jennifer Jones,198-89-0541,195374.79,53167.65,152471.53,11664.07,91179.02,9618.78,2019
strickland-Thomas and Sons,885 Norman Circle Apt. 189,Alyssastad,KY,22694-0347,20-5765046,Cynthia Evans,167-23-8381,203417.02,50205.33,164760.51,12604.18,108734.78,7758.81,2019
Gray-Williams Inc,02712 Neal Brook Apt. 595,New Sabrinaview,WV,67672-7909,16-0473480,Jerry Wright,876-05-7073,70660.18,13639.92,59784.57,4573.52,32318.43,1915.89,2019
"Hampton, Duncan and Walton Ltd",0353 Derek Run,South Joseph,MO,19656-6418,73-8527658,Christopher Dixon,281-81-6482,240242.17,35013.22,255659.9,19557.98,116405.81,11784.13,2019
Thomas Group Ltd,199 Katherine Grove Suite 627,Huangmouth,WA,61880-6838,23-8630038,Larry Martin,766-63-6654,179098.72,38999.68,214469.15,16406.89,89096.28,4054.14,2019
"Morrison, Ashley and Henderson and Sons",8196 Brandy Lakes Suite 580,Jackieview,ME,16383-3242,55-0290079,Melissa Petersen,801-45-0440,183794.85,33417.3,203228.85,15547.01,97745.22,6279.07,2019
Zhang-Hayes Group,17414 Peterson Trace,Murphyfort,IL,01193-5123,36-5729511,Dr. Brittany,163-11-1013,81486.12,20700.,74002.77,5661.21,37185.63,2577.35,2019
George-Horton and Sons,55527 Shannon Corner,Alisonfort,LA,24369-8354,43-1414035,Rodney Perez,475-90-1539,240614.35,79673.63,266460.93,20384.26,120854.26,8990.12,2019
"Lyons, Gilmore and Maldonado Ltd",46093 Tammy Springs Suite 761,Jamesmouth,WA,87167-1594,88-7582496,Kathy Allison,714-27-1345,104101.55,18768.19,90665.12,6935.88,49807.82,2352.37,2019
"Kerr, Vance and Clark Ltd",807 Linda Burg Apt. 570,Port Markton,IA,91970-6705,74-2993178,Amy Gonzales,204-43-4552,155137.64,16190.07,190757.1,14592.92,72361.66,2736.74,2019
"Smith, Fitzgerald and Mcdonald Inc",813 Snyder Loaf,Austinport,NM,27572-0597,16-3723191,Robert Anderson,372-90-4537,58709.15,10201.15,47408.71,3626.77,29732.66,1189.02,2019
"Pace, Allison and Wallace Inc",762 Sheila Gler,Mistystad,IL,71232-7450,63-7847782,Kurt Clark,751-60-9547,161516.46,22767.08,202813.67,15515.25,73203.22,4024.39,2019
"Sandoval, White and Anderson and Sons",275 Peter Dale Suite 633,Johnberg,OK,46724-6879,13-2456974,Mrs. Stacy,000-00-0000,135146.15,30825.86,148589.27,11367.08,65527.5,4386.91,Unknown
Webb Ltd Group,171 Allen Drive,Jonesmouth,KS,17537-5265,52-2836465,Bradley Hill,497-78-5154,212792.18,39253.58,242146.8,18524.23,108092.29,6122.09,2019
Dickerson LLC Inc,412 Moore Camp,New David,KS,48544-8839,30-7003064,James Gutierrez,382-60-1185,217891.52,56171.54,266738.73,20405.51,117596.38,8236.44,2019
Carson LLC LLC,7042 Burton Ports,North Davidborough,MO,99705-7309,03-3595235,Christopher Crosby,232-92-0962,55304.44,8476.39,61838.42,4730.64,29539.09,2633.59,2019
"Rodriguez, Garcia and Pierce Group",15589 Mack Corner Apt. 6,West Craigtown,MN,28289-4051,75-6263820,Tara Christensen,426-54-3183,141176.79,44176.06,145758.21,11150.5,67328.09,3758.1,2019
Fields-Pacheco and Sons,971 Martinez Drives Apt. 614,Lake Ryan,PA,19057-7715,36-4807362,Gabriel Powell,207-09-8027,132590.9,13956.69,98986.25,7572.45,68093.36,6327.34,2019
Davis and Sons Group,61577 Christopher Pines,South Robertport,NH,34788-6727,45-4918349,Mr. Frank,725-96-4934,182649.73,21555.77,138373.31,10585.56,91141.49,6590.85,2019
"Henry, Jones and Quinn LLC",23927 Kevin Lane Suite 067,New Shannonshire,OR,41335-1879,53-3435873,Juan Mcguire,240-51-9894,101359.41,34772.33,107449.4,8219.88,55120.4,4003.66,2019
Mata-Ray PLC,118 Sanders Mountains Suite 699,Jamesstad,MS,88945-9803,62-8360028,James May,580-94-9430,57879.4,8877.69,53339.23,4080.45,30090.5,2008.79,2019
Anderson LLC and Sons,97911 Joseph Circles,Port Patricia,UT,51152-3400,15-4530578,Carolyn Adams,591-29-4776,118491.14,15176.73,84792.19,6486.6,58145.97,4303.78,2019
Lopez Ltd and Sons,19530 Wyatt Roads,West Markshire,NV,65799-0643,60-1214042,Eric Wilcox,190-72-9169,166114.55,36849.56,206844.32,15823.59,90371.02,7077.72,2019
"Diaz, Walsh and Hoover PLC",3342 Foster Centers,Smithchester,OH,11186-3810,91-6060021,Dr. Mark,000-00-0000,120770.16,41406.24,112158.31,8580.11,63632.55,7208.31,Unknown
"Maldonado, Parker and Mcclure Ltd",081 John Ford Apt. 542,Port Ericaburgh,CO,33421-7058,39-1117251,Jacqueline Moore,670-11-2087,45397.14,7377.85,46445.92,3553.13,22147.82,1445.95,2019
"Warren, Thompson and Jones Ltd",1151 Kelli Loaf Suite 568,New Dennis,HI,31351-1959,94-3031191,Veronica Curry,218-87-9793,116288.14,13729.7,104864.42,8022.13,60853.46,2929.56,2019
Vega PLC and Sons,948 Barnes Ville Suite 361,Thompsonburgh,WA,19516-4061,81-0351080,Sophia Rodriguez,436-02-0832,192308.75,68361.71,189305.72,14481.89,102096.04,7332.06,2019
Arnold-Cuevas and Sons,57689 Mallory Glens,North Charles,NJ,41524-3966,85-2692425,Donald Hobbs,529-50-9203,197057.56,39818.28,154777.55,11840.48,105496.9,7034.93,2019
Townsend-Werner LLC,16938 King Land,West Tracy,KS,95563-5500,59-8642060,Shannon Knight,035-49-2984,203944.61,40613.15,210886.0,16132.78,107817.9,5403.41,2019
"Dawson, Jarvis and Mckinney LLC",80837 Jimenez Hills Suite 369,Caseyborough,UT,10184-5082,23-9365213,Christopher Hunter,473-57-9699,179777.62,37578.58,167381.65,12804.7,80927.68,5658.3,2019
Schultz-Harris and Sons,2918 Sarah Isle Apt. 018,Santoshaven,NM,80600-5245,47-9456324,Courtney Hoffman,168-57-9855,226872.84,83055.97,264895.53,20264.51,109383.07,7968.35,2019
Walker Group and Sons,574 King Fork,Lawsonbury,NV,18450-4845,34-2378159,Robin Cooke,197-71-1499,62511.95,14203.37,78648.89,6016.64,30482.93,1130.2,2019
"Irwin, Taylor and Perez Ltd",38462 Ariana Plains,Myersburgh,NM,04573-7717,86-4819516,Nancy Wilson,463-71-9369,12836.79,15793.69,37221.41,2847.44,21402.46,1692.78,2019
"Taylor, Mitchell and Hernandez PLC",2762 Blair Ramp,Mathewsville,MT,73701-7055,UNKNOWN_EIN,James Miller,000-00-0000,150047.64,29336.88,144555.81,11058.52,74994.88,4959.47,2019
Mcconnell-Whitaker and Sons,19841 Torres Bridge,South Joyfurt,TN,10442-2651,16-8543273,Marcia Campbell,178-86-9660,167506.94,42816.96,184863.25,14142.04,83037.93,5840.81,2019
Huynh-Moody Inc,51367 Morrison Extensions Suite 329,South Erikaport,NV,47552-0275,58-0626121,Donald Andrews,846-62-1414,80716.7,8372.33,57112.16,4369.08,40186.93,2274.24,2019
"Hunt, Knox and Morgan Inc",698 Perry Trace,North Johnfort,KS,81268-3528,91-4559008,Joseph Butler,467-08-8770,141025.22,28756.86,110191.96,3429.68,70963.38,3365.38,2019
"Pratt, Hernandez and Anthony Ltd",259 Joanna Wells Apt. 844,East Williamton,WA,89284-9516,87-4907955,Rebekah Murray,467-23-4754,48186.52,12869.05,53551.94,4096.72,23970.63,1274.33,2019
Clark-Smith Group,31046 Hartman Cape,New Emma,NV,82314-6154,33-6879304,Brooke Logan,000-00-0000,226026.52,78719.87,238003.48,18207.27,117291.76,7333.57,Unknown
"Carr, Padilla and Johnson Group",841 King Fort,Laurieside,OK,81472-5097,38-3995762,Jason Pugh,761-46-2325,62522.68,9837.32,59442.95,4547.39,31309.66,2441.96,2019
French Ltd and Sons,22463 Moreno Stream,Victoriabury,PA,90116-9103,63-3480270,Katie Hensley,035-36-3992,62239.89,10671.76,49830.14,3812.01,32036.35,2304.07,2019
Brown-Robinson PLC,40880 Julie Court,Brightchester,PA,51668-9634,75-2833286,Joanne Brown,183-72-0537,66753.72,6849.54,57801.1,4421.78,34823.21,3685.56,2019
Nest-Turner PLC,5253 Rogers Center Apt. 716,Port Paul,MO,48775-1232,01-2720604,Melissa Ray,674-06-5373,211148.64,63715.05,149168.82,11411.41,115014.6,9916.1,2019
Mendoza-Martin Group,103 Smith Crossing,West Ronald,ME,49987-1398,27-6591270,Matthew Robinson,276-57-6944,207898.7,58315.11,185135.81,14162.89,112520.75,10039.32,2019
Whitehead Ltd and Sons,81110 Caitlyn Creek Suite 402,Lake Kellyburgh,MD,93725-4506,44-6375438,Amanda Smith,079-98-8087,133855.27,21691.41,100507.01,7688.79,67405.1,4484.61,2019
Allen-Davis LLC,36294 Garcia Rapids,Burnsbury,AL,30058-1769,73-0620933,Nancy Elliott,755-95-3280,56418.54,6361.48,62922.01,4813.53,26253.77,3252.42,2019
Nood Inc PLC,155 Elizabeth Parks Suite 714,South Kathleen,WY,56164-5006,04-0780021,Jennifer Cummings,764-12-1171,99748.38,14810.32,78820.12,6029.74,48455.8,5050.35,2019
Perry-Galvan Inc,26586 David Lodge Suite 048,Santoshaven,DE,93170-4813,25-9603462,Christopher Jimenez,083-28-8507,227187.56,30472.53,273679.51,20936.48,116087.41,7777.55,2019
Grimes-Smith Group,0376 Bridges Mills Suite 970,Martinezborough,IN,73798-8008,68-5252268,Joseph Nichols,697-85-3013,156647.19,20420.18,161580.72,12360.93,76997.6,5214.28,2019
Lara-Riley Group,1903 Dominguez Trace,East Michae.,IL,01668-4887,92-8299145,Karl Smith,651-35-7892,74015.69,18350.67,79386.86,6073.09,40008.49,3795.98,2019
Rogers LLC PLC,024 Young Unions,Port Donald,SC,99938-3971,25-9239875,Rachel,125-35-0590,118300.92,13170.2,0,262654,0,4481.22,2018
"Shelton, Castillo and Beard Group",39497 Jacob Fork,North Matthew,ND,21793-7969,84-3289694,Dr. Alexis,000-00-0000,226374.13,29064.37,0,0,123932.43,571437,2018
Hicks-Vargas LLC,103 Whitaker Parkways,South Seth,MD,87001 -1899,20-5039449,Melissa Bailey,000-00-0000,0,0,118736.68,0,0,.385801,2018
Nelson Group Inc,8956 Marks Knolls,solisborough,KY,30860-5430,25-8614153,Nicholas Perry,600-26-5491,72356.23,710259,69010.85,0,2534841.,0,2018
Rodriguez-Vance Itd,58439 Jam,Brendaburgh,MD,71724-2256,32-0889196,Mary Oliver,000-00-0000,52705.24,17240.32,0,0,32557.07,0,2018
Townsend Group Itd,141 Lloyd Ville Apt. 091,iazchester,MA,82518 - 4831,81-9019677,Dr. David,795-07-5278,21213961,0,0,0,3,.609499,2018
Castillo-Schroeder PLC,151 Thomas Ville Apt. 019,Nest Isaiahmouth,MO,40729-7558,95-0812195,Erica Lee,000-00-0000,4847715.,.487189,0,0,623,0,2018
Griffin-Howard Ltd,1833 Raymond Street Suite 23,Jasonland,IA,67148-6396,92-4122293,Randy Calhoun,097-08-6995,0,.753593,0,0,101610.23,0,2018
"Lopez, Gross and Dominguez and Sons",85666 Allen Street,Coreychester,ME,71257-3942,52-8013713,Matthew Ingram,000-00-0000,122581.04,527939.,0,0,0,2178.76,2018
Fox-Mitchell and Sons,15354 Anthony Green Suite 080,port Markland,VA,16842-7708,46-8285369,Jeffrey Herrera,000-00-0000,181356.1,.2139173,207353.37,0,918423,0,2018
Lane -Williams Inc,5071 Anderson Stravenue,East Josephland,DE,22582-4266,42-0706879,Whitaker,000-00-0000,140016.39,0,0,0,.9594,0,2018
Johnson Inc Group,90404 Anita Club Suite 751,Guerreroville,PA,14463-7391,93-9684820,Aaron Kennedy,000-00-0000,8398227.,0,0,0,49309.57,0,2018
"waters by dress,",1867 Lisa Highway,stephaniemouth,KS,98923-0294,33-4675845,Alexis Anderson,212-81-6129,0,0,0,0,0,0,2018
Unknown,11510 Patricia Rest,Fieldshaven,AZ,02906-3853,51-9104110,John Kelly,556-01-9925,0,0,.4914387,0,0,0,2018
White -Harris Group,5833 Rivera Fords,Port Leslie,AL,28839-0600,15-9365410,Mitchell Kirk,000-00-0000,5184746.,0,0,0,0,3656.46,2018
Sawyer-Harmon PLC,00 Valerie Summit Apt. 981,East Patriciaview,MN,91506-2521,57-6393177,Stewart,035-51-2588,147640.25,32851.78,0,0,0,0,2018
"Burnett, Rosales and Wilson PLC",037 Johnston Ford,last Joshua,MI,74272-5071,93-6441213,Melissa Garcia,777-15-1653,5718.94,0,85330.78,0,0,0,2018
"Smith, Winters and Hernandez and Sons",427 Burton Burgs,west Ryanberg,Unknown,34884-4550,38-1745124,Jerry orr,316-49-5793,0,0,22850074,0,97392.27,0,2018
